=== Pipeline Inference Summary (TOP100 per Market) ===
Date: 2026-07-28 00:46
Total symbols analyzed: 898
Showing: Top 100 per market | Horizons: 1d, 5d, 20d, 60d
Full data: pipeline_result.csv / pipeline_result.jsonl

============================================================
Horizon: 1d

--- KOSPI TOP 100 ---
  44. 079160 (CJ CGV): +4.17%
  45. 003230 (삼양식품): +4.15%
  46. 014710 (사조씨푸드): +4.14%
  47. 078520 (에이블씨엔씨): +4.14%
  48. 001430 (세아베스틸지주): +4.14%
  49. 298020 (효성티앤씨): +4.09%
  50. 009970 (영원무역홀딩스): +4.08%
  51. 000640 (동아쏘시오홀딩스): +4.06%
  52. 018670 (SK가스): +4.04%
  53. 044820 (코스맥스비티아이): +3.99%
  54. 460850 (동국씨엠): +3.96%
  55. 017670 (SK텔레콤): +3.92%
  56. 37550L (DL이앤씨2우(전환)): +3.81%
  57. 090430 (아모레퍼시픽): +3.79%
  58. 000210 (DL): +3.77%
  59. 002360 (SH에너지화학): +3.77%
  60. 002820 (SUN&L): +3.72%
  61. 051905 (LG생활건강우): +3.70%
  62. 008490 (서흥): +3.69%
  63. 000180 (성창기업지주): +3.67%
  64. 069620 (대웅제약): +3.65%
  65. 475150 (SK이터닉스): +3.65%
  66. 001530 (DI동일): +3.62%
  67. 268280 (미원에스씨): +3.57%
  68. 194370 (제이에스코퍼레이션): +3.53%
  69. 028100 (동아지질): +3.49%
  70. 294870 (IPARK현대산업개발): +3.46%
  71. 002630 (오리엔트바이오): +3.45%
  72. 003350 (한국화장품제조): +3.42%
  73. 024720 (콜마홀딩스): +3.37%
  74. 082640 (동양생명): +3.35%
  75. 316140 (우리금융지주): +3.34%
  76. 006660 (삼성공조): +3.33%
  77. 000700 (유수홀딩스): +3.30%
  78. 007570 (일양약품): +3.28%
  79. 000520 (삼일제약): +3.28%
  80. 086280 (현대글로비스): +3.27%
  81. 306200 (세아제강): +3.25%
  82. 006840 (AK홀딩스): +3.24%
  83. 010950 (S-Oil): +3.23%
  84. 009540 (HD한국조선해양): +3.22%
  85. 001450 (현대해상): +3.22%
  86. 000680 (LS네트웍스): +3.20%
  87. 439260 (대한조선): +3.19%
  88. 100090 (SK오션플랜트): +3.18%
  89. 001070 (대한방직): +3.17%
  90. 170900 (동아에스티): +3.16%
  91. 37550K (DL이앤씨우): +3.15%
  92. 023590 (다우기술): +3.15%
  93. 036460 (한국가스공사): +3.15%
  94. 271940 (일진하이솔루스): +3.12%
  95. 003240 (태광산업): +3.06%
  96. 096770 (SK이노베이션): +3.00%
  97. 004370 (농심): +3.00%
  98. 005830 (DB손해보험): +2.98%
