=== Pipeline Inference Summary (TOP100 per Market) ===
Date: 2026-07-29 09:22
Total symbols analyzed: 74
Showing: Top 100 per market | Horizons: 1d, 5d, 20d, 60d
Full data: pipeline_result.csv / pipeline_result.jsonl

============================================================
Horizon: 1d

--- KONEX TOP 100 ---
  73. 390110 (애니메디솔루션): -10.38%
  74. 140660 (위월드): -10.81%

============================================================
Horizon: 20d

--- KONEX TOP 100 ---
  1. 299480 (지앤이헬스케어): +35.00%
  2. 216400 (인바이츠바이오코아): +27.03%
  3. 227420 (도부): +20.70%
  4. 199290 (바이오프로테크): +16.79%
  5. 236340 (메디젠휴먼케어): +14.02%
  6. 260870 (SK시그넷): +13.54%
  7. 122830 (원포유): +10.47%
  8. 191600 (블루탑): +9.53%
  9. 162120 (루켄테크놀러지스): +8.87%
  10. 456570 (아이엠지티): +8.85%
  11. 311960 (인터로이드): +8.73%
  12. 189350 (코셋): +7.43%
  13. 413300 (티엘엔지니어링): +7.30%
  14. 121060 (유니포인트): +5.56%
  15. 270210 (에스알바이오텍): +4.82%
  16. 176590 (코나솔): +4.60%
  17. 169670 (코스텍시스템): +3.29%
  18. 447690 (아이오바이오): +2.82%
  19. 254160 (제이엠멀티): +2.51%
  20. 402420 (켈스): +1.31%
  21. 208850 (이비테크): +1.25%
  22. 331660 (한국미라클피플사): +1.19%
  23. 341170 (퓨쳐메디신): +1.04%
  24. 244880 (나눔테크): +0.91%
  25. 250030 (진코스텍): +0.68%
  26. 217950 (파마리서치바이오): +0.57%
  27. 178600 (대동고려삼): +0.53%
  28. 206950 (볼빅): +0.38%
  29. 217880 (틸론): +0.27%
  30. 243870 (아이티센코어): +0.17%
  31. 180060 (탑선): +0.06%
  32. 245450 (씨앤에스링크): +0.00%
  33. 233990 (질경이): -0.20%
  34. 318660 (타임기술): -0.33%
  35. 103660 (씨앗): -0.54%
  36. 234070 (에이원큐브텍): -0.56%
  37. 448780 (마이크로엔엑스): -0.77%
  38. 102950 (아하): -1.24%
  39. 112190 (KC산업): -1.36%
  40. 253610 (루트락): -1.56%
  41. 434190 (탈로스): -1.61%
  42. 217910 (에스제이켐): -1.65%
  43. 446440 (에피바이오텍): -1.74%
  44. 052960 (태양3C): -1.90%
  45. 076340 (지에이이노더스): -2.01%
  46. 200580 (메디쎄이): -2.39%
  47. 337840 (유엑스엔): -2.70%
  48. 311060 (엘에이티): -2.82%
  49. 322970 (무진메디): -3.02%
  50. 066830 (제노텍): -3.08%
  51. 199150 (데이터스트림즈): -3.35%
  52. 289170 (바이오텐): -3.42%
  53. 232530 (이엠티): -3.46%
  54. 215570 (크로넥스): -3.46%
  55. 202960 (판도라티비): -3.73%
  56. 278990 (EMB): -3.88%
  57. 251280 (안지오랩): -4.14%
  58. 266470 (바이오인프라생명과학): -4.69%
  59. 276240 (엘리비젼): -4.74%
  60. 140610 (엔솔바이오사이언스): -4.77%
  61. 223220 (로지스몬): -4.95%
  62. 296160 (프로젠): -5.08%
  63. 136660 (큐엠씨): -5.47%
  64. 185190 (수프로): -5.61%
  65. 116100 (태양기계): -6.27%
  66. 114920 (대주이엔티): -6.61%
  67. 086220 (광동헬스바이오): -6.96%
  68. 236030 (씨알푸드): -9.17%
  69. 403360 (라피치): -9.94%
  70. 224810 (엄지하우스): -10.38%
  71. 229500 (노브메타파마): -12.74%
  72. 233250 (메디안디노스틱): -14.34%
  73. 390110 (애니메디솔루션): -20.76%
  74. 140660 (위월드): -21.63%

============================================================
Horizon: 60d

--- KONEX TOP 100 ---
  1. 299480 (지앤이헬스케어): +35.00%
  2. 216400 (인바이츠바이오코아): +35.00%
  3. 227420 (도부): +35.00%
  4. 199290 (바이오프로테크): +29.08%
  5. 236340 (메디젠휴먼케어): +24.28%
  6. 260870 (SK시그넷): +23.45%
  7. 122830 (원포유): +18.13%
  8. 191600 (블루탑): +16.50%
  9. 162120 (루켄테크놀러지스): +15.36%
  10. 456570 (아이엠지티): +15.32%
  11. 311960 (인터로이드): +15.12%
  12. 189350 (코셋): +12.87%
  13. 413300 (티엘엔지니어링): +12.64%
  14. 121060 (유니포인트): +9.63%
  15. 270210 (에스알바이오텍): +8.35%
  16. 176590 (코나솔): +7.96%
  17. 169670 (코스텍시스템): +5.69%
  18. 447690 (아이오바이오): +4.89%
  19. 254160 (제이엠멀티): +4.34%
  20. 402420 (켈스): +2.27%
  21. 208850 (이비테크): +2.17%
  22. 331660 (한국미라클피플사): +2.06%
  23. 341170 (퓨쳐메디신): +1.81%
  24. 244880 (나눔테크): +1.57%
  25. 250030 (진코스텍): +1.19%
  26. 217950 (파마리서치바이오): +0.98%
  27. 178600 (대동고려삼): +0.92%
  28. 206950 (볼빅): +0.65%
  29. 217880 (틸론): +0.46%
  30. 243870 (아이티센코어): +0.30%
  31. 180060 (탑선): +0.11%
  32. 245450 (씨앤에스링크): +0.00%
  33. 233990 (질경이): -0.35%
  34. 318660 (타임기술): -0.57%
  35. 103660 (씨앗): -0.93%
  36. 234070 (에이원큐브텍): -0.97%
  37. 448780 (마이크로엔엑스): -1.34%
  38. 102950 (아하): -2.15%
  39. 112190 (KC산업): -2.35%
  40. 253610 (루트락): -2.70%
  41. 434190 (탈로스): -2.79%
  42. 217910 (에스제이켐): -2.86%
  43. 446440 (에피바이오텍): -3.02%
  44. 052960 (태양3C): -3.29%
  45. 076340 (지에이이노더스): -3.49%
  46. 200580 (메디쎄이): -4.15%
  47. 337840 (유엑스엔): -4.68%
  48. 311060 (엘에이티): -4.88%
  49. 322970 (무진메디): -5.22%
  50. 066830 (제노텍): -5.33%
  51. 199150 (데이터스트림즈): -5.80%
  52. 289170 (바이오텐): -5.92%
  53. 232530 (이엠티): -6.00%
  54. 215570 (크로넥스): -6.00%
  55. 202960 (판도라티비): -6.46%
  56. 278990 (EMB): -6.72%
  57. 251280 (안지오랩): -7.17%
  58. 266470 (바이오인프라생명과학): -8.12%
  59. 276240 (엘리비젼): -8.20%
  60. 140610 (엔솔바이오사이언스): -8.26%
  61. 223220 (로지스몬): -8.57%
  62. 296160 (프로젠): -8.80%
  63. 136660 (큐엠씨): -9.48%
  64. 185190 (수프로): -9.71%
  65. 116100 (태양기계): -10.86%
  66. 114920 (대주이엔티): -11.44%
  67. 086220 (광동헬스바이오): -12.06%
  68. 236030 (씨알푸드): -15.89%
  69. 403360 (라피치): -17.22%
  70. 224810 (엄지하우스): -17.98%
  71. 229500 (노브메타파마): -22.07%
  72. 233250 (메디안디노스틱): -24.84%
  73. 140660 (위월드): -25.00%
  74. 390110 (애니메디솔루션): -25.00%

