symbol,1,5,10,20,30,60,120,200
ABBV,-0.0028313521925901687,-0.034652828602318914,-0.022066308411126483,-0.01850965210017308,-0.03560151391005324,-0.020244964923081747,0.09477505329505678,0.1238560688692662
MMM,0.0026063966508545378,-0.0022730919730443774,-0.011245095281107339,-0.010007446568886892,-0.0044604002448747635,0.03272897498390863,0.03691041057401947,0.07762074877731881
AMD,0.009661979691907458,-0.01549267057334441,0.002059565316004184,0.0024665587467301428,-0.015486099877500992,-0.05614027316065921,0.11938791195419508,0.2534763716200466
ADBE,-0.001281692505268424,-0.011111576085045982,-0.015140255699329988,-0.027770819468454038,-0.0011140741425442672,-0.012469423950449598,0.046321339115273794,0.12130970741442573
ABT,0.003678293154793733,-0.011822181920750905,-0.019246781472698295,-0.03788953956784331,-0.002926513959871384,0.0036818035972658383,0.12050779830393907,0.17047458694445491
ACN,0.008698696661179315,-0.013175742981021855,-0.0014297639896630457,0.0009469328762909005,0.007267710104162511,0.025471200556920693,0.1466782800622835,0.1641768930058943
APD,-0.011056493960797399,-0.0224512672904844,-0.012086218872997581,-0.009585800046940698,-0.0209653327193936,-0.0014712052325818945,0.07967838342521272,0.14987399424076578
AFL,0.002235739281306217,-0.010416155684310199,-0.00879065083594188,-0.015226979569401404,-0.02717621608146374,-0.03494882000268811,0.020646387590843012,0.05003716638565326
AOS,0.018130384537943484,0.005249999922268193,0.003195115616697614,-0.007898302977252589,0.005491252025298923,0.022069411650376958,0.05746809879472915,0.12745657291382906
AES,0.003202131241476346,0.0046160831636568745,0.002844598928120834,0.010414052890797632,0.0023903913295091083,0.015589103632430708,0.022726300662006378,0.04725061276253431
ABNB,0.013604927714911024,-0.014370616497937964,-0.005927151033411466,-0.01730929687096496,-0.017529860975478966,-0.003622739032497494,0.07959234353981816,0.11201304177669967
A,0.021744992510486075,-0.004971908636234547,-0.018173479766363996,-0.0018668691452062925,0.0018573368458406167,0.051946769590037765,0.05100281174278786,0.11424774487981848
ALGN,0.0029365898659364223,-0.014415194196232295,-0.0012241308491154428,-0.0022540441959009185,-0.023147953750968352,0.027883187111218725,0.06612266435463529,0.1373605613181229
ALB,0.017357225593955226,-0.0009542242599569252,0.010313450885062324,0.009874766541800712,0.012218776180276713,0.059483126303504906,0.16964548320899062,0.1388475217771586
ALL,-0.0040731642285687765,-0.031086253369135737,-0.04580631690913952,-0.019140244178918242,-0.03978508933542647,-0.0469272279214879,0.04307644802302901,0.10888011957850526
ALLE,0.00733809929455985,-0.008601934655580776,-0.002092375841573829,-0.0029267164768635675,-0.0022768346624719793,-0.005342805984132815,0.0505522198956518,0.08312777655182725
AKAM,0.016318438980015743,-0.005585484959997242,0.019876558132606147,0.014176337761364214,-0.016024492588849,-0.0008040572352964806,0.20961705092422003,0.1896699678077949
ARE,0.009760329157169697,0.0060513080733447504,0.0051173259450972754,0.005756348191422514,0.005141759769041433,0.09045267960660966,0.14882389930899068,0.1978354231395704
