=== Pipeline Inference Summary (TOP100 per Market) ===
Date: 2026-07-29 09:36
Total symbols analyzed: 898
Showing: Top 100 per market | Horizons: 1d, 5d, 20d, 60d
Full data: pipeline_result.csv / pipeline_result.jsonl

============================================================
Horizon: 1d

--- KOSPI TOP 100 ---
  46. 003230 (삼양식품): +2.39%
  47. 268280 (미원에스씨): +2.38%
  48. 014710 (사조씨푸드): +2.36%
  49. 004430 (송원산업): +2.30%
  50. 298020 (효성티앤씨): +2.25%
  51. 002790 (아모레퍼시픽홀딩스): +2.22%
  52. 294870 (IPARK현대산업개발): +2.22%
  53. 006370 (대구백화점): +2.21%
  54. 282330 (BGF리테일): +2.20%
  55. 194370 (제이에스코퍼레이션): +2.19%
  56. 417310 (코람코더원리츠): +2.17%
  57. 316140 (우리금융지주): +2.16%
  58. 016590 (신대양제지): +2.15%
  59. 259960 (크래프톤): +2.11%
  60. 033780 (KT&G): +2.04%
  61. 008490 (서흥): +2.03%
  62. 008930 (한미사이언스): +2.01%
  63. 180640 (한진칼): +1.98%
  64. 001450 (현대해상): +1.93%
  65. 460850 (동국씨엠): +1.88%
  66. 019685 (대교우B): +1.86%
  67. 005610 (삼립): +1.84%
  68. 033250 (체시스): +1.84%
  69. 078520 (에이블씨엔씨): +1.78%
  70. 036460 (한국가스공사): +1.77%
  71. 453340 (현대그린푸드): +1.77%
  72. 096770 (SK이노베이션): +1.76%
  73. 008260 (NI스틸): +1.73%
  74. 014990 (인디에프): +1.73%
  75. 035720 (카카오): +1.72%
  76. 006040 (동원산업): +1.72%
  77. 051905 (LG생활건강우): +1.66%
  78. 035420 (NAVER): +1.66%
  79. 105630 (한세실업): +1.65%
  80. 007570 (일양약품): +1.63%
  81. 003300 (한일홀딩스): +1.59%
  82. 175330 (JB금융지주): +1.59%
  83. 383220 (F&F): +1.58%
  84. 000700 (유수홀딩스): +1.56%
  85. 481850 (신한글로벌액티브리츠): +1.54%
  86. 009200 (무림페이퍼): +1.51%
