=== Pipeline Inference Summary (TOP100 per Market) ===
Date: 2026-07-29 09:57
Total symbols analyzed: 1573
Showing: Top 100 per market | Horizons: 1d, 5d, 20d, 60d
Full data: pipeline_result.csv / pipeline_result.jsonl

============================================================
Horizon: 1d

--- KOSDAQ TOP 100 ---
  45. 114450 (그린생명과학): +4.89%
  46. 290520 (신도기연): +4.82%
  47. 290720 (푸드나무): +4.75%
  48. 087010 (펩트론): +4.72%
  49. 317770 (엑스페릭스): +4.58%
  50. 455900 (엔젤로보틱스): +4.56%
  51. 033050 (제이엠아이): +4.34%
  52. 247660 (나노씨엠에스): +4.27%
  53. 310200 (애니플러스): +4.24%
  54. 402030 (코난테크놀로지): +4.15%
  55. 054920 (한컴위드): +4.10%
  56. 328380 (솔트웨어): +4.03%
  57. 013990 (아가방컴퍼니): +3.95%
  58. 419080 (엔젯): +3.88%
  59. 405000 (플라즈맵): +3.86%
  60. 099440 (스맥): +3.86%
  61. 086710 (선진뷰티사이언스): +3.79%
  62. 331520 (밸로프): +3.78%
  63. 264850 (이랜시스): +3.61%
  64. 098660 (에스티오): +3.59%
  65. 309930 (조이웍스앤코): +3.58%
  66. 009620 (삼보산업): +3.58%
  67. 036630 (세종텔레콤): +3.51%
  68. 331380 (포커스에이아이): +3.49%
  69. 093380 (풍강): +3.36%
  70. 035620 (바른손이앤에이): +3.35%
  71. 304100 (솔트룩스): +3.20%
  72. 035610 (솔본): +3.19%
  73. 065690 (파커스): +3.18%
  74. 048830 (엔피케이): +3.04%
  75. 085810 (알티캐스트): +3.03%
  76. 090850 (현대이지웰): +3.01%
  77. 340810 (시선AI): +2.94%
  78. 036620 (감성코퍼레이션): +2.85%
  79. 420570 (제이투케이바이오): +2.78%
  80. 093520 (매커스): +2.66%
  81. 265740 (엔에프씨): +2.61%
  82. 365590 (하이딥): +2.58%
  83. 258790 (소프트캠프): +2.57%
  84. 303030 (지니틱스): +2.52%
  85. 039830 (오로라): +2.51%
  86. 092460 (한라IMS): +2.50%
  87. 340570 (티앤엘): +2.49%
  88. 068790 (DMS): +2.49%
  89. 099190 (아이센스): +2.48%
  90. 053290 (NE능률): +2.46%
  91. 206640 (바디텍메드): +2.44%
  92. 022220 (티케이지애강): +2.43%
  93. 192410 (오늘이엔엠): +2.42%
  94. 457600 (벡트): +2.37%
  95. 351870 (차이커뮤니케이션): +2.36%
  96. 376980 (원티드랩): +2.35%
  97. 138070 (신진에스엠): +2.35%
  98. 303360 (프로티아): +2.28%
  99. 290660 (다이나믹솔루션): +2.26%
  100. 377450 (리파인): +2.24%

============================================================
Horizon: 20d

--- KOSDAQ TOP 100 ---
  1. 368600 (아이씨에이치): +35.00%
  2. 199430 (케이엔알시스템): +33.26%
  3. 299660 (셀리드): +33.13%
  4. 463020 (뉴엔AI): +29.98%
  5. 052460 (아이크래프트): +25.03%
  6. 199730 (바이오인프라): +24.09%
  7. 900100 (파이온엑스): +22.86%
  8. 417860 (오브젠): +22.58%
  9. 044340 (위닉스): +21.50%
  10. 227610 (아우딘퓨쳐스): +19.85%
  11. 489460 (바이오비쥬): +18.27%
  12. 413630 (씨피시스템): +18.08%
  13. 018700 (졸스): +16.44%
  14. 317240 (TS트릴리온): +16.16%
  15. 396300 (세아메카닉스): +14.79%
  16. 363250 (진시스템): +14.62%
  17. 301300 (바이브컴퍼니): +14.27%
  18. 091970 (LSK아이로봇): +14.25%
  19. 900290 (GRT): +14.16%
  20. 078590 (휴림에이텍): +13.60%
  21. 108860 (셀바스AI): +13.33%
  22. 032790 (엠젠솔루션): +13.30%
  23. 332570 (PS일렉트로닉스): +13.02%
  24. 372800 (아이티아이즈): +13.01%
  25. 053350 (이니텍): +12.78%
  26. 484810 (티엑스알로보틱스): +12.75%
  27. 059120 (아진엑스텍): +12.42%
  28. 377480 (마음AI): +11.87%
  29. 246710 (티앤알바이오팹): +11.86%
  30. 045510 (정원엔시스): +11.69%
  31. 377330 (이지트로닉스): +11.63%
  32. 460930 (현대힘스): +11.63%
  33. 039980 (폴라리스AI): +11.61%
  34. 193250 (링크드): +11.60%
  35. 079940 (가비아): +11.43%
  36. 208640 (썸에이지): +11.20%
  37. 455180 (케이지에이): +11.16%
  38. 104040 (디에스엠): +11.11%
  39. 460870 (에스엠씨지): +10.84%
  40. 424760 (벨로크): +10.77%
  41. 235980 (메드팩토): +10.72%
  42. 093320 (케이아이엔엑스): +10.00%
  43. 333430 (일승): +9.94%
  44. 270520 (앱튼): +9.94%
  45. 114450 (그린생명과학): +9.78%
  46. 290520 (신도기연): +9.65%
  47. 290720 (푸드나무): +9.51%
  48. 087010 (펩트론): +9.44%
  49. 317770 (엑스페릭스): +9.15%
  50. 455900 (엔젤로보틱스): +9.13%
  51. 033050 (제이엠아이): +8.68%
  52. 247660 (나노씨엠에스): +8.55%
  53. 310200 (애니플러스): +8.48%
  54. 402030 (코난테크놀로지): +8.30%
  55. 054920 (한컴위드): +8.20%
  56. 328380 (솔트웨어): +8.06%
  57. 013990 (아가방컴퍼니): +7.91%
  58. 419080 (엔젯): +7.77%
  59. 405000 (플라즈맵): +7.72%
  60. 099440 (스맥): +7.72%
  61. 086710 (선진뷰티사이언스): +7.57%
  62. 331520 (밸로프): +7.56%
  63. 264850 (이랜시스): +7.22%
  64. 098660 (에스티오): +7.18%
  65. 309930 (조이웍스앤코): +7.15%
  66. 009620 (삼보산업): +7.15%
  67. 036630 (세종텔레콤): +7.03%
  68. 331380 (포커스에이아이): +6.98%
