=== Pipeline Inference Summary (TOP100 per Market) ===
Date: 2026-07-27 23:44
Total symbols analyzed: 1573
Showing: Top 100 per market | Horizons: 1d, 5d, 20d, 60d
Full data: pipeline_result.csv / pipeline_result.jsonl

============================================================
Horizon: 1d

--- KOSDAQ TOP 100 ---
  45. 372800 (아이티아이즈): +7.02%
  46. 457600 (벡트): +6.89%
  47. 377450 (리파인): +6.87%
  48. 333430 (일승): +6.87%
  49. 171090 (선익시스템): +6.79%
  50. 322780 (코퍼스코리아): +6.78%
  51. 420570 (제이투케이바이오): +6.64%
  52. 448900 (한국피아이엠): +6.56%
  53. 463020 (뉴엔AI): +6.44%
  54. 460870 (에스엠씨지): +6.38%
  55. 013990 (아가방컴퍼니): +6.37%
  56. 039980 (폴라리스AI): +6.34%
  57. 053290 (NE능률): +6.31%
  58. 194480 (데브시스터즈): +6.24%
  59. 050090 (비케이홀딩스): +6.22%
  60. 310200 (애니플러스): +6.18%
  61. 093320 (케이아이엔엑스): +6.16%
  62. 304100 (솔트룩스): +6.16%
  63. 068790 (DMS): +6.05%
  64. 396300 (세아메카닉스): +5.86%
  65. 060370 (LS마린솔루션): +5.83%
  66. 340570 (티앤엘): +5.80%
  67. 121440 (골프존홀딩스): +5.68%
  68. 076610 (해성옵틱스): +5.65%
  69. 099190 (아이센스): +5.59%
  70. 126640 (화신정공): +5.59%
  71. 036620 (감성코퍼레이션): +5.46%
  72. 114450 (그린생명과학): +5.41%
  73. 377330 (이지트로닉스): +5.41%
  74. 138070 (신진에스엠): +5.41%
  75. 437730 (삼현): +5.37%
  76. 091970 (LSK아이로봇): +5.36%
  77. 086710 (선진뷰티사이언스): +5.19%
  78. 376980 (원티드랩): +5.09%
  79. 203400 (에이비온): +5.08%
  80. 189330 (씨이랩): +5.06%
  81. 036630 (세종텔레콤): +5.00%
  82. 290520 (신도기연): +4.93%
  83. 257720 (실리콘투): +4.92%
  84. 033560 (블루콤): +4.88%
  85. 082210 (옵트론텍): +4.86%
  86. 054920 (한컴위드): +4.84%
  87. 196700 (웹스): +4.83%
  88. 236810 (엔비티): +4.78%
  89. 064260 (다날): +4.76%
  90. 473980 (노머스): +4.72%
  91. 265740 (엔에프씨): +4.69%
  92. 331520 (밸로프): +4.69%
  93. 222040 (코스맥스엔비티): +4.66%
  94. 328380 (솔트웨어): +4.66%
  95. 239340 (이스트에이드): +4.62%
  96. 362320 (청담글로벌): +4.58%
  97. 290720 (푸드나무): +4.56%
  98. 377480 (마음AI): +4.52%
  99. 092460 (한라IMS): +4.45%
  100. 193250 (링크드): +4.43%

============================================================
Horizon: 20d

--- KOSDAQ TOP 100 ---
  1. 368600 (아이씨에이치): +35.00%
  2. 078590 (휴림에이텍): +35.00%
  3. 484810 (티엑스알로보틱스): +35.00%
  4. 018700 (졸스): +33.29%
  5. 052460 (아이크래프트): +33.11%
  6. 270520 (앱튼): +32.66%
  7. 199430 (케이엔알시스템): +30.61%
  8. 059120 (아진엑스텍): +26.58%
  9. 489460 (바이오비쥬): +26.41%
  10. 264850 (이랜시스): +24.58%
  11. 332570 (PS일렉트로닉스): +23.54%
  12. 045510 (정원엔시스): +23.03%
  13. 354200 (엔젠바이오): +22.75%
  14. 065690 (파커스): +21.78%
  15. 044340 (위닉스): +21.71%
  16. 119850 (지엔씨에너지): +21.28%
  17. 227610 (아우딘퓨쳐스): +20.78%
  18. 405000 (플라즈맵): +20.76%
  19. 301300 (바이브컴퍼니): +20.03%
  20. 317240 (TS트릴리온): +19.99%
  21. 419080 (엔젯): +19.77%
  22. 099440 (스맥): +19.19%
  23. 413630 (씨피시스템): +18.72%
  24. 455180 (케이지에이): +18.64%
  25. 208640 (썸에이지): +18.50%
  26. 900100 (파이온엑스): +17.99%
  27. 240600 (유진테크놀로지): +17.94%
  28. 270660 (에브리봇): +16.77%
  29. 053350 (이니텍): +16.56%
  30. 900290 (GRT): +16.49%
  31. 417860 (오브젠): +16.21%
  32. 079940 (가비아): +15.42%
  33. 481070 (에이유브랜즈): +15.39%
  34. 104040 (디에스엠): +15.33%
  35. 115610 (이미지스): +15.16%
  36. 300080 (플리토): +15.10%
  37. 246710 (티앤알바이오팹): +15.07%
  38. 066590 (스모트로닉): +15.03%
  39. 176750 (듀켐바이오): +15.02%
  40. 144960 (뉴파워프라즈마): +14.91%
  41. 402030 (코난테크놀로지): +14.79%
  42. 399720 (가온칩스): +14.66%
  43. 108860 (셀바스AI): +14.65%
  44. 117670 (알파칩스): +14.59%
  45. 372800 (아이티아이즈): +14.05%
  46. 457600 (벡트): +13.77%
  47. 377450 (리파인): +13.74%
  48. 333430 (일승): +13.74%
  49. 171090 (선익시스템): +13.59%
  50. 322780 (코퍼스코리아): +13.56%
  51. 420570 (제이투케이바이오): +13.28%
  52. 448900 (한국피아이엠): +13.12%
  53. 463020 (뉴엔AI): +12.88%
  54. 460870 (에스엠씨지): +12.77%
  55. 013990 (아가방컴퍼니): +12.74%
  56. 039980 (폴라리스AI): +12.68%
  57. 053290 (NE능률): +12.63%
  58. 194480 (데브시스터즈): +12.48%
  59. 050090 (비케이홀딩스): +12.44%
  60. 310200 (애니플러스): +12.36%
  61. 093320 (케이아이엔엑스): +12.33%
  62. 304100 (솔트룩스): +12.32%
  63. 068790 (DMS): +12.10%
  64. 396300 (세아메카닉스): +11.71%
  65. 060370 (LS마린솔루션): +11.66%
  66. 340570 (티앤엘): +11.60%
