=== Pipeline Inference Summary (TOP100 per Market) ===
Date: 2026-07-27 23:09
Total symbols analyzed: 74
Showing: Top 100 per market | Horizons: 1d, 5d, 20d, 60d
Full data: pipeline_result.csv / pipeline_result.jsonl

============================================================
Horizon: 1d

--- KONEX TOP 100 ---
  72. 233250 (메디안디노스틱): -6.53%
  73. 140660 (위월드): -6.94%
  74. 390110 (애니메디솔루션): -14.04%

============================================================
Horizon: 20d

--- KONEX TOP 100 ---
  1. 299480 (지앤이헬스케어): +32.44%
  2. 199290 (바이오프로테크): +26.59%
  3. 122830 (원포유): +16.26%
  4. 270210 (에스알바이오텍): +13.56%
  5. 311960 (인터로이드): +11.68%
  6. 266470 (바이오인프라생명과학): +9.13%
  7. 354390 (바스칸바이오제약): +8.60%
  8. 217910 (에스제이켐): +8.11%
  9. 236340 (메디젠휴먼케어): +7.75%
  10. 116100 (태양기계): +7.31%
  11. 260870 (SK시그넷): +7.04%
  12. 189350 (코셋): +6.30%
  13. 206950 (볼빅): +6.08%
  14. 102950 (아하): +5.27%
  15. 456570 (아이엠지티): +4.25%
  16. 434190 (탈로스): +4.20%
  17. 278990 (EMB): +3.60%
  18. 199150 (데이터스트림즈): +3.19%
  19. 317860 (노드메이슨): +2.68%
  20. 162120 (루켄테크놀러지스): +2.37%
  21. 112190 (KC산업): +2.25%
  22. 178600 (대동고려삼): +2.08%
  23. 250030 (진코스텍): +2.07%
  24. 331660 (한국미라클피플사): +2.00%
  25. 224810 (엄지하우스): +2.00%
  26. 233990 (질경이): +1.69%
  27. 336040 (타스컴): +1.67%
  28. 202960 (판도라티비): +1.64%
  29. 402420 (켈스): +1.44%
  30. 245450 (씨앤에스링크): +1.33%
  31. 403360 (라피치): +1.07%
  32. 185190 (수프로): +1.05%
  33. 149010 (아이케이세미콘): +0.68%
  34. 243870 (아이티센코어): +0.48%
  35. 217950 (파마리서치바이오): +0.30%
  36. 289170 (바이오텐): +0.05%
  37. 215570 (크로넥스): +0.03%
  38. 254160 (제이엠멀티): +0.00%
  39. 234070 (에이원큐브텍): -0.13%
  40. 244880 (나눔테크): -0.15%
  41. 216400 (인바이츠바이오코아): -0.58%
  42. 103660 (씨앗): -1.11%
